##技能ID（Type*100+lv）,INT_Type,名称,说明,所属大类,等级,等级上限,需求建筑等级,前置研究ID,粮食需求,石头需求,木材需求,铁矿需求,金币需求,道具需求1（ID#数量）,效果ID（BuffID）,效果值,研究时间（秒）,领主经验,战斗力,名字文本,描述文本,升级数值类型：0不显示，1绝对值，2百分数,图标,脚标
ID,Type,Desc,DEC,Class,Level,MaxLevel,BuildLevelReq,PreTech1ID,FoodReq,StoneReq,WoodReq,IronReq,CoinReq,Item1Req,Param1,Param2,Time,ExpAward,PowerAward,STR_LcT,STR_LcD,TYPE,Icon,Icon_Small
10306,103,0,0,1,6,10,15,0,1021,16344,16344,20430,234375,0,168,2200,97200,125000,11718,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10307,103,0,0,1,7,10,18,10107,2043,32689,32689,40861,585935,0,168,3000,194400,150000,29296,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10308,103,0,0,1,8,10,21,0,4086,65378,65378,81723,1464835,0,168,4200,388800,175000,73241,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10309,103,0,0,1,9,10,23,0,8172,130756,130756,163446,3662085,0,168,5600,777600,200000,183104,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10310,103,0,0,1,10,10,25,10110,16344,261513,261513,326892,9155210,0,168,8000,1555200,225000,457760,LC_RESEARCH_Economy_103,LC_COMMON_BUFF_TYPE_168,2,icon_college_eoc_02,0
10401,104,粮食容量,提高领地粮食容量,1,1,10,3,10101,550,0,0,0,3200,0,173,100,1800,12500,160,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10402,104,0,0,1,2,10,5,0,1100,0,0,0,8000,0,173,300,3600,25000,400,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10403,104,0,0,1,3,10,7,0,2200,0,0,0,20000,0,173,600,10800,50000,1000,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10404,104,0,0,1,4,10,9,0,4400,5500,5500,0,50000,0,173,1000,32400,75000,2500,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10405,104,0,0,1,5,10,12,0,8800,11000,11000,0,125000,0,173,1500,97200,100000,6250,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10406,104,0,0,1,6,10,15,0,17600,22000,22000,1100,312500,0,173,2200,194400,125000,15625,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10407,104,0,0,1,7,10,18,0,35200,44000,44000,2200,781250,0,173,3000,388800,150000,39062,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10408,104,0,0,1,8,10,21,10308,70400,88000,88000,4400,1953125,0,173,4200,777600,175000,97656,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10409,104,0,0,1,9,10,23,10309,140800,176000,176000,8800,4882810,0,173,5600,1555200,200000,244140,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10410,104,0,0,1,10,10,25,10310,281600,352000,352000,17600,12207025,0,173,8000,3110400,225000,610351,LC_BUILD_BUFF_TYPE_173,LC_COMMON_BUFF_TYPE_173,2,icon_college_eoc_02,0
10501,105,负载I,提高军队的负载,1,1,10,5,10201,6875,0,0,0,20000,0,136,100,2700,12500,1000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10502,105,0,0,1,2,10,7,0,13750,0,0,0,40000,0,136,300,5400,25000,2000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10503,105,0,0,1,3,10,9,0,27500,0,0,0,80000,0,136,600,16200,50000,4000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10504,105,0,0,1,4,10,12,0,55000,55000,55000,0,160000,0,136,1000,48600,75000,8000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10505,105,0,0,1,5,10,15,0,110000,110000,110000,0,320000,0,136,1500,145800,100000,16000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10506,105,0,0,1,6,10,18,0,220000,220000,220000,165000,640000,0,136,2200,291600,125000,32000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10507,105,0,0,1,7,10,21,10207,440000,440000,440000,330000,1280000,0,136,3000,583200,150000,64000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10508,105,0,0,1,8,10,23,0,880000,880000,880000,660000,2560000,0,136,4200,1166400,175000,128000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10509,105,0,0,1,9,10,24,0,1760000,1760000,1760000,1320000,5120000,0,136,5600,2332800,200000,256000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10510,105,0,0,1,10,10,25,10210,3520000,3520000,3520000,2640000,15360000,0,136,8000,4665600,225000,768000,LC_COMMON_Load,LC_COMMON_BUFF_TYPE_136,2,icon_college_eoc_02,0
10601,106,开采,提高石料产量,1,1,10,5,10301,13750,0,0,0,20000,0,169,100,7200,25000,1000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10602,106,0,0,1,2,10,7,0,27500,27500,27500,0,40000,0,169,300,14400,50000,2000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10603,106,0,0,1,3,10,9,0,55000,55000,55000,0,80000,0,169,600,28800,75000,4000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10604,106,0,0,1,4,10,12,0,110000,110000,110000,0,160000,0,169,1000,57600,100000,8000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10605,106,0,0,1,5,10,15,10305,220000,220000,220000,165000,320000,0,169,1500,115200,125000,16000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10606,106,0,0,1,6,10,18,10306,440000,440000,440000,330000,640000,0,169,2100,230400,150000,32000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10607,106,0,0,1,7,10,21,10307,880000,880000,880000,660000,1280000,0,169,2800,460800,175000,64000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10608,106,0,0,1,8,10,23,10308,1760000,1760000,1760000,1320000,2560000,0,169,3600,921600,200000,128000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10609,106,0,0,1,9,10,24,10309,3520000,3520000,3520000,2640000,5120000,0,169,4600,1843200,225000,256000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10610,106,0,0,1,10,10,25,10310,7040000,7040000,7040000,5280000,10240000,0,169,6600,3686400,250000,512000,LC_RESEARCH_Economy_106,LC_COMMON_BUFF_TYPE_169,2,icon_college_eoc_02,0
10701,107,石料容量,提高领地石料容量,1,1,10,5,10401,13750,0,0,0,20000,0,176,100,7200,25000,1000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10702,107,0,0,1,2,10,7,0,27500,27500,27500,0,40000,0,176,300,14400,50000,2000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10703,107,0,0,1,3,10,9,0,55000,55000,55000,0,80000,0,176,600,28800,75000,4000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10704,107,0,0,1,4,10,12,0,110000,110000,110000,0,160000,0,176,1000,57600,100000,8000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10705,107,0,0,1,5,10,15,0,220000,220000,220000,165000,320000,0,176,1500,115200,125000,16000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10706,107,0,0,1,6,10,18,0,440000,440000,440000,330000,640000,0,176,2100,230400,150000,32000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10707,107,0,0,1,7,10,21,10407,880000,880000,880000,660000,1280000,0,176,2800,460800,175000,64000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10708,107,0,0,1,8,10,23,10408#10608,1760000,1760000,1760000,1320000,2560000,0,176,3600,921600,200000,128000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10709,107,0,0,1,9,10,24,10409#10609,3520000,3520000,3520000,2640000,5120000,0,176,4600,1843200,225000,256000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10710,107,0,0,1,10,10,25,10410#10610,7040000,7040000,7040000,5280000,10240000,0,176,6600,3686400,250000,512000,LC_BUILD_BUFF_TYPE_176,LC_COMMON_BUFF_TYPE_176,2,icon_college_eoc_02,0
10801,108,采集I,提高采集速度,1,1,10,7,10501,13750,0,0,0,20000,0,135,100,7200,25000,1000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10802,108,0,0,1,2,10,9,0,27500,27500,27500,0,40000,0,135,300,14400,50000,2000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10803,108,0,0,1,3,10,12,0,55000,55000,55000,0,80000,0,135,600,28800,75000,4000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10804,108,0,0,1,4,10,15,0,110000,110000,110000,0,160000,0,135,1000,57600,100000,8000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10805,108,0,0,1,5,10,18,0,220000,220000,220000,165000,320000,0,135,1500,115200,125000,16000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10806,108,0,0,1,6,10,21,0,440000,440000,440000,330000,640000,0,135,2100,230400,150000,32000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10807,108,0,0,1,7,10,23,10507,880000,880000,880000,660000,1280000,0,135,2800,460800,175000,64000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10808,108,0,0,1,8,10,24,0,1760000,1760000,1760000,1320000,2560000,0,135,3600,921600,200000,128000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10809,108,0,0,1,9,10,24,0,3520000,3520000,3520000,2640000,5120000,0,135,4600,1843200,225000,256000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10810,108,0,0,1,10,10,25,10510,7040000,7040000,7040000,5280000,10240000,0,135,6600,3686400,250000,512000,LC_RESEARCH_Economy_108,LC_COMMON_BUFF_TYPE_135,2,icon_college_eoc_02,0
10901,109,伐木,提高木材产量,1,1,10,7,10601,13750,0,0,0,20000,0,170,100,7200,25000,1000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10902,109,0,0,1,2,10,9,0,27500,27500,27500,0,40000,0,170,300,14400,50000,2000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10903,109,0,0,1,3,10,12,0,55000,55000,55000,0,80000,0,170,600,28800,75000,4000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10904,109,0,0,1,4,10,15,0,110000,110000,110000,0,160000,0,170,1000,57600,100000,8000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10905,109,0,0,1,5,10,18,10605,220000,220000,220000,165000,320000,0,170,1500,115200,125000,16000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10906,109,0,0,1,6,10,21,10606,440000,440000,440000,330000,640000,0,170,2100,230400,150000,32000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10907,109,0,0,1,7,10,23,10607,880000,880000,880000,660000,1280000,0,170,2800,460800,175000,64000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10908,109,0,0,1,8,10,24,10608,1760000,1760000,1760000,1320000,2560000,0,170,3600,921600,200000,128000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10909,109,0,0,1,9,10,24,10609,3520000,3520000,3520000,2640000,5120000,0,170,4600,1843200,225000,256000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
10910,109,0,0,1,10,10,25,10610,7040000,7040000,7040000,5280000,10240000,0,170,6600,3686400,250000,512000,LC_RESEARCH_Economy_109,LC_COMMON_BUFF_TYPE_170,2,icon_college_eoc_02,0
11001,110,木材容量,提高领地木材容量,1,1,10,7,10701,13750,0,0,0,20000,0,174,14000,7200,25000,1000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11002,110,0,0,1,2,10,9,0,27500,27500,27500,0,40000,0,174,28000,14400,50000,2000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11003,110,0,0,1,3,10,12,0,55000,55000,55000,0,80000,0,174,56000,28800,75000,4000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11004,110,0,0,1,4,10,15,0,110000,110000,110000,0,160000,0,174,84000,57600,100000,8000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11005,110,0,0,1,5,10,18,0,220000,220000,220000,165000,320000,0,174,126000,115200,125000,16000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11006,110,0,0,1,6,10,21,0,440000,440000,440000,330000,640000,0,174,168000,230400,150000,32000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11007,110,0,0,1,7,10,23,10707,880000,880000,880000,660000,1280000,0,174,224000,460800,175000,64000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11008,110,0,0,1,8,10,24,10708#10908,1760000,1760000,1760000,1320000,2560000,0,174,308000,921600,200000,128000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11009,110,0,0,1,9,10,24,10709#10909,3520000,3520000,3520000,2640000,5120000,0,174,560000,1843200,225000,256000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11010,110,0,0,1,10,10,25,10710#10910,7040000,7040000,7040000,5280000,10240000,0,174,1400000,3686400,250000,512000,LC_BUILD_BUFF_TYPE_174,LC_COMMON_BUFF_TYPE_174,1,icon_college_eoc_02,0
11101,111,水晶采集,提高水晶采集速度,1,1,10,9,10801,31,0,0,0,2400,0,214,100,1350,18750,120,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11102,111,0,0,1,2,10,12,0,63,0,0,0,6000,0,214,200,2700,37500,300,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11103,111,0,0,1,3,10,15,0,127,0,0,0,15000,0,214,300,8100,75000,750,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11104,111,0,0,1,4,10,18,0,255,4086,4086,0,37500,0,214,450,24300,112500,1875,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11105,111,0,0,1,5,10,21,10805,510,8172,8172,0,93750,0,214,600,72900,150000,4687,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11106,111,0,0,1,6,10,23,10806,1021,16344,16344,20430,234375,0,214,800,145800,187500,11718,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11107,111,0,0,1,7,10,23,10807,2043,32689,32689,40861,585935,0,214,1000,291600,225000,29296,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11108,111,0,0,1,8,10,24,10808,4086,65378,65378,81723,1464835,0,214,1300,583200,262500,73241,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11109,111,0,0,1,9,10,24,10809,8172,130756,130756,163446,3662085,0,214,1700,1166400,300000,183104,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11110,111,0,0,1,10,10,25,10810,16344,261513,261513,326892,9155210,0,214,3000,2332800,337500,457760,LC_RESEARCH_Economy_111,LC_COMMON_BUFF_TYPE_214,2,icon_college_eoc_02,0
11201,112,冶铁,提高铁矿产量,1,1,10,9,10901,668,0,0,0,2500,0,171,100,1800,18750,125,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11202,112,0,0,1,2,10,12,0,1336,0,0,0,6250,0,171,200,3600,37500,312,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11203,112,0,0,1,3,10,15,0,2672,0,0,0,15625,0,171,300,10800,75000,781,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11204,112,0,0,1,4,10,18,0,5345,267,267,0,39060,0,171,450,32400,112500,1953,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11205,112,0,0,1,5,10,21,10905,10691,534,534,0,97650,0,171,600,97200,150000,4882,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11206,112,0,0,1,6,10,23,10906,21383,1069,1069,17106,244125,0,171,800,194400,187500,12206,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11207,112,0,0,1,7,10,23,10907,42766,2138,2138,34213,610310,0,171,1000,388800,225000,30515,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11208,112,0,0,1,8,10,24,10908,85532,4276,4276,68426,1525775,0,171,1300,777600,262500,76288,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11209,112,0,0,1,9,10,24,10909,171065,8553,8553,136852,3814435,0,171,1700,1555200,300000,190721,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11210,112,0,0,1,10,10,25,10910,342130,17106,17106,273704,9536085,0,171,3000,3110400,337500,476804,LC_RESEARCH_Economy_112,LC_COMMON_BUFF_TYPE_171,2,icon_college_eoc_02,0
11301,113,铁矿容量,提高领地铁矿容量,1,1,10,9,11001,550,0,0,0,3200,0,175,100,2700,18750,160,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
11302,113,0,0,1,2,10,12,0,1100,0,0,0,8000,0,175,200,5400,37500,400,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
11303,113,0,0,1,3,10,15,0,2200,0,0,0,20000,0,175,300,16200,75000,1000,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
11304,113,0,0,1,4,10,18,0,4400,5500,5500,0,50000,0,175,450,48600,112500,2500,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
11305,113,0,0,1,5,10,21,0,8800,11000,11000,0,125000,0,175,600,145800,150000,6250,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
11306,113,0,0,1,6,10,23,0,17600,22000,22000,1100,312500,0,175,800,291600,187500,15625,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
11307,113,0,0,1,7,10,23,11007,35200,44000,44000,2200,781250,0,175,1000,583200,225000,39062,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
11308,113,0,0,1,8,10,24,11008#11208,70400,88000,88000,4400,1953125,0,175,1300,1166400,262500,97656,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
11309,113,0,0,1,9,10,24,11009#11209,140800,176000,176000,8800,4882810,0,175,1700,2332800,300000,244140,LC_BUILD_BUFF_TYPE_175,LC_COMMON_BUFF_TYPE_175,2,icon_college_eoc_02,0
